description,doc1_quantity,doc1_cost,unit,doc1_occurrences,doc2_quantity,doc2_cost,doc2_occurrences,quantity_difference,cost_difference,percentage_cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,significant_difference
"R&R Baseboard - 2 1/4""",76.67,383.32,LF,"{'total_quantity': 76.67, 'total_rcv': 383.32, 'occurrences_detail': ['Line 130: Qty=25.5, RCV=$127.48', 'Line 166: Qty=15.0, RCV=$74.99', 'Line 263: Qty=36.17, RCV=$180.85']}",392.07000000000005,1601.9399999999998,"{'total_quantity': 392.07000000000005, 'total_rcv': 1601.9399999999998, 'occurrences_detail': ['Line 14: Qty=17.0, RCV=$69.46', 'Line 36: Qty=75.25, RCV=$307.46', 'Line 89: Qty=11.66, RCV=$47.64', 'Line 111: Qty=41.33, RCV=$168.86', 'Line 130: Qty=2.33, RCV=$9.52', 'Line 144: Qty=24.25, RCV=$99.09', 'Line 170: Qty=24.25, RCV=$99.09', 'Line 189: Qty=25.5, RCV=$104.19', 'Line 205: Qty=49.5, RCV=$202.26', 'Line 244: Qty=22.0, RCV=$89.88', 'Line 383: Qty=49.0, RCV=$200.20', 'Line 397: Qty=50.0, RCV=$204.29']}",-315.40000000000003,-1218.62,-317.9119273713868,88,FINISH CARPENTRY,linear_feet,False,False,True
R&R Custom cabinets - wall units -,7.0,3202.77,LF,"{'total_quantity': 7.0, 'total_rcv': 3202.77, 'occurrences_detail': ['Line 132: Qty=3.58, RCV=$1637.98', 'Line 446: Qty=3.42, RCV=$1564.79']}",6.0,2100.0,"{'total_quantity': 6.0, 'total_rcv': 2100.0, 'occurrences_detail': ['Line 73: Qty=6.0, RCV=$2100.00']}",1.0,1102.77,34.43175750990549,87,PAINTING,linear_feet,False,False,True
Custom cabinets - base units - High,24.92,14523.44,LF,"{'total_quantity': 24.92, 'total_rcv': 14523.44, 'occurrences_detail': ['Line 133: Qty=3.58, RCV=$2086.43', 'Line 278: Qty=17.92, RCV=$10443.82', 'Line 447: Qty=3.42, RCV=$1993.19']}",21.340000000000003,12026.9,"{'total_quantity': 21.340000000000003, 'total_rcv': 12026.9, 'occurrences_detail': ['Line 75: Qty=17.92, RCV=$10099.43', 'Line 240: Qty=3.42, RCV=$1927.47']}",3.5799999999999983,2496.540000000001,17.189729155076215,100,SPECIALTY ITEMS,linear_feet,False,False,True
Add for prefinished crown molding,28.42,403.92,LF,"{'total_quantity': 28.42, 'total_rcv': 403.92, 'occurrences_detail': ['Line 134: Qty=3.58, RCV=$50.88', 'Line 279: Qty=21.42, RCV=$304.43', 'Line 448: Qty=3.42, RCV=$48.61']}",3.58,45.19,"{'total_quantity': 3.58, 'total_rcv': 45.19, 'occurrences_detail': ['Line 184: Qty=3.58, RCV=$45.19']}",24.840000000000003,358.73,88.81214101802337,100,PAINTING,linear_feet,False,False,True
Seal the walls w/PVA primer - one,1916.41,1485.95,SF,"{'total_quantity': 1916.41, 'total_rcv': 1485.95, 'occurrences_detail': ['Line 139: Qty=57.89, RCV=$44.91', 'Line 156: Qty=341.05, RCV=$264.45', 'Line 184: Qty=683.34, RCV=$529.84', 'Line 311: Qty=461.41, RCV=$357.76', 'Line 376: Qty=120.67, RCV=$93.55', 'Line 515: Qty=252.05, RCV=$195.44']}",,,,,,,0,PAINTING,square_feet,False,False,False
Paint the walls - two coats,1664.3600000000001,2278.37,SF,"{'total_quantity': 1664.3600000000001, 'total_rcv': 2278.37, 'occurrences_detail': ['Line 140: Qty=57.89, RCV=$79.26', 'Line 157: Qty=341.05, RCV=$466.88', 'Line 185: Qty=683.34, RCV=$935.42', 'Line 312: Qty=461.41, RCV=$631.64', 'Line 377: Qty=120.67, RCV=$165.17']}",,,,,,,0,PAINTING,square_feet,False,False,False
Interior window shutters (set) -,1.0,62.3,EA,"{'total_quantity': 1.0, 'total_rcv': 62.3, 'occurrences_detail': ['Line 151: Qty=1.0, RCV=$62.30']}",1.0,61.12,"{'total_quantity': 1.0, 'total_rcv': 61.12, 'occurrences_detail': ['Line 12: Qty=1.0, RCV=$61.12']}",0.0,1.1799999999999997,1.8940609951845904,89,WINDOWS,each,False,False,False
Exterior door - Detach & reset,1.0,201.39,EA,"{'total_quantity': 1.0, 'total_rcv': 201.39, 'occurrences_detail': ['Line 161: Qty=1.0, RCV=$201.39']}",1.0,112.73,"{'total_quantity': 1.0, 'total_rcv': 112.73, 'occurrences_detail': ['Line 318: Qty=1.0, RCV=$112.73']}",0.0,88.65999999999998,44.024032970852566,92,SIDING,each,False,False,True
Seal & paint window shutters - per set,1.0,44.25,EA,"{'total_quantity': 1.0, 'total_rcv': 44.25, 'occurrences_detail': ['Line 164: Qty=1.0, RCV=$44.25']}",,,,,,,0,PAINTING,each,False,False,False
Tile floor covering - High grade,460.62999999999994,7365.349999999999,SF,"{'total_quantity': 460.62999999999994, 'total_rcv': 7365.349999999999, 'occurrences_detail': ['Line 168: Qty=83.57, RCV=$1336.26', 'Line 288: Qty=159.68, RCV=$2553.23', 'Line 343: Qty=104.21, RCV=$1666.29', 'Line 363: Qty=38.72, RCV=$619.13', 'Line 389: Qty=16.53, RCV=$264.32', 'Line 465: Qty=57.92, RCV=$926.12']}",655.0,10315.38,"{'total_quantity': 655.0, 'total_rcv': 10315.38, 'occurrences_detail': ['Line 86: Qty=163.9, RCV=$2581.20', 'Line 167: Qty=35.74, RCV=$562.86', 'Line 186: Qty=50.8, RCV=$800.03', 'Line 202: Qty=184.47, RCV=$2905.16', 'Line 212: Qty=6.0, RCV=$94.49', 'Line 271: Qty=45.63, RCV=$718.62', 'Line 321: Qty=38.72, RCV=$609.79', 'Line 348: Qty=104.21, RCV=$1641.17', 'Line 366: Qty=25.53, RCV=$402.06']}",-194.37000000000006,-2950.0299999999997,-40.05281486962602,100,FLOOR COVERING,square_feet,False,False,True
Mortar bed for tile,271.53999999999996,2185.55,SF,"{'total_quantity': 271.53999999999996, 'total_rcv': 2185.55, 'occurrences_detail': ['Line 169: Qty=83.57, RCV=$672.63', 'Line 283: Qty=28.29, RCV=$227.69', 'Line 289: Qty=159.68, RCV=$1285.23']}",,,,,,,0,FLOOR COVERING,square_feet,False,False,False
Remove Security system - motion,1.0,36.15,EA,"{'total_quantity': 1.0, 'total_rcv': 36.15, 'occurrences_detail': ['Line 173: Qty=1.0, RCV=$36.15']}",1.0,34.7,"{'total_quantity': 1.0, 'total_rcv': 34.7, 'occurrences_detail': ['Line 31: Qty=1.0, RCV=$34.70']}",0.0,1.4499999999999957,4.011065006915618,100,SAFETY & SECURITY,each,False,False,False
Install Security system - motion,1.0,131.39,EA,"{'total_quantity': 1.0, 'total_rcv': 131.39, 'occurrences_detail': ['Line 174: Qty=1.0, RCV=$131.39']}",1.0,129.38,"{'total_quantity': 1.0, 'total_rcv': 129.38, 'occurrences_detail': ['Line 32: Qty=1.0, RCV=$129.38']}",0.0,2.009999999999991,1.529796788187831,100,SAFETY & SECURITY,each,False,False,False
TV Brackets - Wall or ceiling,4.0,282.2,EA,"{'total_quantity': 4.0, 'total_rcv': 282.2, 'occurrences_detail': ['Line 175: Qty=1.0, RCV=$70.55', 'Line 398: Qty=1.0, RCV=$70.55', 'Line 473: Qty=1.0, RCV=$70.55', 'Line 496: Qty=1.0, RCV=$70.55']}",2.0,138.52,"{'total_quantity': 2.0, 'total_rcv': 138.52, 'occurrences_detail': ['Line 280: Qty=1.0, RCV=$69.26', 'Line 372: Qty=1.0, RCV=$69.26']}",2.0,143.67999999999998,50.91424521615875,100,PAINTING,each,False,False,True
R&R Switch,2.0,66.91,EA,"{'total_quantity': 2.0, 'total_rcv': 66.91, 'occurrences_detail': ['Line 178: Qty=2.0, RCV=$66.91']}",,,,,,,0,ELECTRICAL,each,False,False,False
"Batt insulation - 4"" - R13 - paper / foil",435.75,586.02,SF,"{'total_quantity': 435.75, 'total_rcv': 586.02, 'occurrences_detail': ['Line 180: Qty=136.0, RCV=$182.90', 'Line 203: Qty=59.33, RCV=$79.80', 'Line 307: Qty=138.42, RCV=$186.15', 'Line 350: Qty=22.67, RCV=$30.48', 'Line 405: Qty=79.33, RCV=$106.69']}",,,,,,,0,OFFICE SUPPLIES,square_feet,False,False,False
Paint door or window opening - 2,13.0,553.14,EA,"{'total_quantity': 13.0, 'total_rcv': 553.14, 'occurrences_detail': ['Line 189: Qty=8.0, RCV=$340.40', 'Line 262: Qty=1.0, RCV=$42.56', 'Line 314: Qty=2.0, RCV=$85.09', 'Line 482: Qty=2.0, RCV=$85.09']}",26.0,1079.35,"{'total_quantity': 26.0, 'total_rcv': 1079.35, 'occurrences_detail': ['Line 107: Qty=4.0, RCV=$166.06', 'Line 155: Qty=1.0, RCV=$41.51', 'Line 262: Qty=12.0, RCV=$498.17', 'Line 296: Qty=1.0, RCV=$41.51', 'Line 319: Qty=1.0, RCV=$41.51', 'Line 340: Qty=3.0, RCV=$124.55', 'Line 378: Qty=2.0, RCV=$83.02', 'Line 393: Qty=2.0, RCV=$83.02']}",-13.0,-526.2099999999999,-95.13143146400549,100,OFFICE SUPPLIES,each,False,False,True
Detach & Reset Ceiling fan & light,4.0,1232.64,EA,"{'total_quantity': 4.0, 'total_rcv': 1232.64, 'occurrences_detail': ['Line 198: Qty=1.0, RCV=$308.16', 'Line 394: Qty=1.0, RCV=$308.16', 'Line 470: Qty=1.0, RCV=$308.16', 'Line 492: Qty=1.0, RCV=$308.16']}",,,,,,,0,PAINTING,each,False,False,False
Smoke detector - Detach & reset,6.0,502.61999999999995,EA,"{'total_quantity': 6.0, 'total_rcv': 502.61999999999995, 'occurrences_detail': ['Line 199: Qty=1.0, RCV=$83.77', 'Line 347: Qty=1.0, RCV=$83.77', 'Line 395: Qty=1.0, RCV=$83.77', 'Line 433: Qty=1.0, RCV=$83.77', 'Line 471: Qty=1.0, RCV=$83.77', 'Line 493: Qty=1.0, RCV=$83.77']}",4.0,330.08,"{'total_quantity': 4.0, 'total_rcv': 330.08, 'occurrences_detail': ['Line 231: Qty=1.0, RCV=$82.52', 'Line 278: Qty=1.0, RCV=$82.52', 'Line 373: Qty=1.0, RCV=$82.52', 'Line 388: Qty=1.0, RCV=$82.52']}",2.0,172.53999999999996,34.32812064780549,100,HVAC,each,False,False,True
Prime & paint heat register,4.0,55.72,EA,"{'total_quantity': 4.0, 'total_rcv': 55.72, 'occurrences_detail': ['Line 201: Qty=1.0, RCV=$13.93', 'Line 303: Qty=1.0, RCV=$13.93', 'Line 349: Qty=1.0, RCV=$13.93', 'Line 371: Qty=1.0, RCV=$13.93']}",,,,,,,0,PAINTING,each,False,False,False
Caulking - silicone,116.0,388.59000000000003,LF,"{'total_quantity': 116.0, 'total_rcv': 388.59000000000003, 'occurrences_detail': ['Line 218: Qty=36.0, RCV=$120.59', 'Line 317: Qty=36.0, RCV=$120.59', 'Line 340: Qty=44.0, RCV=$147.41']}",,,,,,,0,UNCATEGORIZED,linear_feet,False,False,False
Furnace - forced air - Detach & reset,1.0,920.8,EA,"{'total_quantity': 1.0, 'total_rcv': 920.8, 'occurrences_detail': ['Line 224: Qty=1.0, RCV=$920.80']}",,,,,,,0,HVAC,each,False,False,False
Water heater - Detach & reset,1.0,672.12,EA,"{'total_quantity': 1.0, 'total_rcv': 672.12, 'occurrences_detail': ['Line 225: Qty=1.0, RCV=$672.12']}",,,,,,,0,PLUMBING,each,False,False,False
R&R Water heater seismic strap kit -,1.0,97.02,EA,"{'total_quantity': 1.0, 'total_rcv': 97.02, 'occurrences_detail': ['Line 226: Qty=1.0, RCV=$97.02']}",,,,,,,0,PLUMBING,each,False,False,False
Detach & Reset Bifold door - full,1.0,25.09,EA,"{'total_quantity': 1.0, 'total_rcv': 25.09, 'occurrences_detail': ['Line 233: Qty=1.0, RCV=$25.09']}",1.0,24.96,"{'total_quantity': 1.0, 'total_rcv': 24.96, 'occurrences_detail': ['Line 209: Qty=1.0, RCV=$24.96']}",0.0,0.129999999999999,0.5181347150259028,100,DOORS,each,False,False,False
"Carpenter - Finish, Trim / Cabinet -",22.0,2329.0,HR,"{'total_quantity': 22.0, 'total_rcv': 2329.0, 'occurrences_detail': ['Line 239: Qty=6.0, RCV=$635.18', 'Line 533: Qty=16.0, RCV=$1693.82']}",,,,,,,0,OFFICE SUPPLIES,hours,False,False,False
Material allowance*,1.0,198.46,EA,"{'total_quantity': 1.0, 'total_rcv': 198.46, 'occurrences_detail': ['Line 240: Qty=1.0, RCV=$198.46']}",,,,,,,0,UNCATEGORIZED,each,False,False,False
Shelving - Detach & reset,13.25,156.5,LF,"{'total_quantity': 13.25, 'total_rcv': 156.5, 'occurrences_detail': ['Line 247: Qty=13.25, RCV=$156.50']}",13.25,153.01,"{'total_quantity': 13.25, 'total_rcv': 153.01, 'occurrences_detail': ['Line 219: Qty=13.25, RCV=$153.01']}",0.0,3.490000000000009,2.2300319488817952,100,HVAC,linear_feet,False,False,False
"Seal & paint wood shelving, 12""- 24""",0.0,0.0,LF,"{'total_quantity': 0.0, 'total_rcv': 0.0, 'occurrences_detail': ['Line 248: Qty=0.0, RCV=$0.00']}",,,,,,,0,FLOOR COVERING,linear_feet,False,False,False
Seal more than the ceiling w/PVA,441.33,342.2,SF,"{'total_quantity': 441.33, 'total_rcv': 342.2, 'occurrences_detail': ['Line 254: Qty=441.33, RCV=$342.20']}",,,,,,,0,PAINTING,square_feet,False,False,False
Paint more than the ceiling - two,441.33,604.15,SF,"{'total_quantity': 441.33, 'total_rcv': 604.15, 'occurrences_detail': ['Line 255: Qty=441.33, RCV=$604.15']}",,,,,,,0,PAINTING,square_feet,False,False,False
R&R 8-0 6-8 wood sliding patio door -,2.0,8831.26,EA,"{'total_quantity': 2.0, 'total_rcv': 8831.26, 'occurrences_detail': ['Line 257: Qty=1.0, RCV=$4415.63', 'Line 413: Qty=1.0, RCV=$4415.63']}",,,,,,,0,FLOOR COVERING,each,False,False,False
Mask French door lites (per side of,8.0,532.96,EA,"{'total_quantity': 8.0, 'total_rcv': 532.96, 'occurrences_detail': ['Line 258: Qty=4.0, RCV=$266.48', 'Line 414: Qty=4.0, RCV=$266.48']}",,,,,,,0,DOORS,each,False,False,False
"R&R Screen door - wood - 30"" - 36"" -",2.0,480.38,EA,"{'total_quantity': 2.0, 'total_rcv': 480.38, 'occurrences_detail': ['Line 260: Qty=1.0, RCV=$240.19', 'Line 417: Qty=1.0, RCV=$240.19']}",,,,,,,0,FLOOR COVERING,each,False,False,False
Sink - double basin - High grade,1.0,727.75,EA,"{'total_quantity': 1.0, 'total_rcv': 727.75, 'occurrences_detail': ['Line 265: Qty=1.0, RCV=$727.75']}",1.0,697.69,"{'total_quantity': 1.0, 'total_rcv': 697.69, 'occurrences_detail': ['Line 63: Qty=1.0, RCV=$697.69']}",0.0,30.059999999999945,4.130539333562342,100,OFFICE SUPPLIES,each,False,False,False
Sink faucet - Kitchen - High grade,1.0,497.89,EA,"{'total_quantity': 1.0, 'total_rcv': 497.89, 'occurrences_detail': ['Line 266: Qty=1.0, RCV=$497.89']}",1.0,464.47,"{'total_quantity': 1.0, 'total_rcv': 464.47, 'occurrences_detail': ['Line 65: Qty=1.0, RCV=$464.47']}",0.0,33.41999999999996,6.712326015786611,100,OFFICE SUPPLIES,each,False,False,True
Samsung 28 cu. ft. 4-Door French,1.0,2878.0,EA,"{'total_quantity': 1.0, 'total_rcv': 2878.0, 'occurrences_detail': ['Line 267: Qty=1.0, RCV=$2878.00']}",,,,,,,0,DOORS,each,False,False,False
Dishwasher*,1.0,1439.99,EA,"{'total_quantity': 1.0, 'total_rcv': 1439.99, 'occurrences_detail': ['Line 268: Qty=1.0, RCV=$1439.99']}",1.0,768.84,"{'total_quantity': 1.0, 'total_rcv': 768.84, 'occurrences_detail': ['Line 68: Qty=1.0, RCV=$768.84']}",0.0,671.15,46.60796255529552,100,CLEANING,each,False,False,True
Microwave oven - over range w/built-,1.0,1091.07,EA,"{'total_quantity': 1.0, 'total_rcv': 1091.07, 'occurrences_detail': ['Line 269: Qty=1.0, RCV=$1091.07']}",1.0,1074.21,"{'total_quantity': 1.0, 'total_rcv': 1074.21, 'occurrences_detail': ['Line 74: Qty=1.0, RCV=$1074.21']}",0.0,16.8599999999999,1.5452720723693165,100,APPLIANCES,each,False,False,False
Refrigerator/icemaker water supply,1.0,184.3,EA,"{'total_quantity': 1.0, 'total_rcv': 184.3, 'occurrences_detail': ['Line 270: Qty=1.0, RCV=$184.30']}",1.0,181.05,"{'total_quantity': 1.0, 'total_rcv': 181.05, 'occurrences_detail': ['Line 70: Qty=1.0, RCV=$181.05']}",0.0,3.25,1.7634291915355398,100,PLUMBING,each,False,False,False
Garbage disposer - High grade,1.0,409.52,EA,"{'total_quantity': 1.0, 'total_rcv': 409.52, 'occurrences_detail': ['Line 271: Qty=1.0, RCV=$409.52']}",1.0,376.68,"{'total_quantity': 1.0, 'total_rcv': 376.68, 'occurrences_detail': ['Line 71: Qty=1.0, RCV=$376.68']}",0.0,32.839999999999975,8.019144364133615,100,DUMPSTER & DEBRIS,each,False,False,True
R&R P-trap assembly - ABS (plastic),1.0,89.83,EA,"{'total_quantity': 1.0, 'total_rcv': 89.83, 'occurrences_detail': ['Line 272: Qty=1.0, RCV=$89.83']}",5.0,361.57,"{'total_quantity': 5.0, 'total_rcv': 361.57, 'occurrences_detail': ['Line 66: Qty=1.0, RCV=$72.32', 'Line 163: Qty=1.0, RCV=$72.32', 'Line 265: Qty=1.0, RCV=$72.32', 'Line 344: Qty=2.0, RCV=$144.61']}",-4.0,-271.74,-302.50473115885563,93,PLUMBING FIXTURES,each,False,False,True
Custom cabinets - full height units -,2.0,1673.4,LF,"{'total_quantity': 2.0, 'total_rcv': 1673.4, 'occurrences_detail': ['Line 275: Qty=2.0, RCV=$1673.40']}",2.0,1590.67,"{'total_quantity': 2.0, 'total_rcv': 1590.67, 'occurrences_detail': ['Line 76: Qty=2.0, RCV=$1590.67']}",0.0,82.73000000000002,4.943826939165771,100,SPECIALTY ITEMS,linear_feet,False,False,False
"Custom cabinets - wall units - 42"" tall",12.42,5533.46,LF,"{'total_quantity': 12.42, 'total_rcv': 5533.46, 'occurrences_detail': ['Line 276: Qty=12.42, RCV=$5533.46']}",19.42,7700.82,"{'total_quantity': 19.42, 'total_rcv': 7700.82, 'occurrences_detail': ['Line 72: Qty=12.42, RCV=$5266.51', 'Line 182: Qty=3.58, RCV=$984.12', 'Line 239: Qty=3.42, RCV=$1450.19']}",-7.000000000000002,-2167.3599999999997,-39.168260003686655,100,PAINTING,linear_feet,False,False,True
Custom cabinets - wall units - up to,6.0,2183.16,LF,"{'total_quantity': 6.0, 'total_rcv': 2183.16, 'occurrences_detail': ['Line 277: Qty=6.0, RCV=$2183.16']}",6.0,2100.0,"{'total_quantity': 6.0, 'total_rcv': 2100.0, 'occurrences_detail': ['Line 73: Qty=6.0, RCV=$2100.00']}",0.0,83.15999999999985,3.8091573682185396,100,PAINTING,linear_feet,False,False,False
Countertop - Granite or Marble -,35.67,3815.7,SF,"{'total_quantity': 35.67, 'total_rcv': 3815.7, 'occurrences_detail': ['Line 280: Qty=35.67, RCV=$3815.70']}",35.67,3055.78,"{'total_quantity': 35.67, 'total_rcv': 3055.78, 'occurrences_detail': ['Line 79: Qty=35.67, RCV=$3055.78']}",0.0,759.9199999999996,19.915611814345983,100,TILE,square_feet,False,False,True
Add on Granite or Marble - edge,43.0,2152.76,LF,"{'total_quantity': 43.0, 'total_rcv': 2152.76, 'occurrences_detail': ['Line 281: Qty=43.0, RCV=$2152.76']}",43.0,1228.08,"{'total_quantity': 43.0, 'total_rcv': 1228.08, 'occurrences_detail': ['Line 80: Qty=43.0, RCV=$1228.08']}",0.0,924.6800000000003,42.953232129916955,100,TILE,linear_feet,False,False,True
Ceramic/porcelain tile backsplash -,28.29,502.27,SF,"{'total_quantity': 28.29, 'total_rcv': 502.27, 'occurrences_detail': ['Line 282: Qty=28.29, RCV=$502.27']}",,,,,,,0,FLOOR COVERING,square_feet,False,False,False
Add-on for tile backsplash installation,28.29,424.69,SF,"{'total_quantity': 28.29, 'total_rcv': 424.69, 'occurrences_detail': ['Line 284: Qty=28.29, RCV=$424.69']}",28.29,418.58,"{'total_quantity': 28.29, 'total_rcv': 418.58, 'occurrences_detail': ['Line 83: Qty=28.29, RCV=$418.58']}",0.0,6.110000000000014,1.4386964609479889,100,FLOOR COVERING,square_feet,False,False,False
Add on for undermount sink cutout &,1.0,350.44,EA,"{'total_quantity': 1.0, 'total_rcv': 350.44, 'occurrences_detail': ['Line 285: Qty=1.0, RCV=$350.44']}",1.0,342.79,"{'total_quantity': 1.0, 'total_rcv': 342.79, 'occurrences_detail': ['Line 81: Qty=1.0, RCV=$342.79']}",0.0,7.649999999999977,2.182969980595816,100,OFFICE SUPPLIES,each,False,False,False
Cabinet knob or pull - High grade,31.0,503.8,EA,"{'total_quantity': 31.0, 'total_rcv': 503.8, 'occurrences_detail': ['Line 286: Qty=31.0, RCV=$503.80']}",29.0,462.7,"{'total_quantity': 29.0, 'total_rcv': 462.7, 'occurrences_detail': ['Line 77: Qty=29.0, RCV=$462.70']}",2.0,41.10000000000002,8.157999206034145,100,CABINETRY,each,False,False,True
R&R Ground fault interrupter (GFI),2.0,113.12,EA,"{'total_quantity': 2.0, 'total_rcv': 113.12, 'occurrences_detail': ['Line 294: Qty=2.0, RCV=$113.12']}",2.0,95.52,"{'total_quantity': 2.0, 'total_rcv': 95.52, 'occurrences_detail': ['Line 47: Qty=2.0, RCV=$95.52']}",0.0,17.60000000000001,15.558698727015566,87,UNCATEGORIZED,each,False,False,True
R&R Recessed light fixture - High,5.0,1198.82,EA,"{'total_quantity': 5.0, 'total_rcv': 1198.82, 'occurrences_detail': ['Line 295: Qty=5.0, RCV=$1198.82']}",1.0,190.96,"{'total_quantity': 1.0, 'total_rcv': 190.96, 'occurrences_detail': ['Line 52: Qty=1.0, RCV=$190.96']}",4.0,1007.8599999999999,84.07100315310055,83,ELECTRICAL,each,False,False,True
Light fixture - High grade,1.0,151.24,EA,"{'total_quantity': 1.0, 'total_rcv': 151.24, 'occurrences_detail': ['Line 296: Qty=1.0, RCV=$151.24']}",1.0,148.95,"{'total_quantity': 1.0, 'total_rcv': 148.95, 'occurrences_detail': ['Line 50: Qty=1.0, RCV=$148.95']}",0.0,2.2900000000000205,1.5141496958476728,100,ELECTRICAL,each,False,False,False
"Detach & Reset Mirror - 1/4"" plate",23.63,238.47,SF,"{'total_quantity': 23.63, 'total_rcv': 238.47, 'occurrences_detail': ['Line 304: Qty=23.63, RCV=$238.47']}",44.629999999999995,442.38,"{'total_quantity': 44.629999999999995, 'total_rcv': 442.38, 'occurrences_detail': ['Line 250: Qty=21.0, RCV=$208.16', 'Line 333: Qty=23.63, RCV=$234.22']}",-20.999999999999996,-203.91,-85.50761102025412,83,HVAC,square_feet,False,False,True
