description,doc1_quantity,doc1_cost,unit,doc1_occurrences,doc2_quantity,doc2_cost,doc2_occurrences,quantity_difference,cost_difference,percentage_cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,significant_difference
Medicine cabinet - Detach & reset,1.0,71.77,EA,"{'total_quantity': 1.0, 'total_rcv': 71.77, 'occurrences_detail': ['Line 305: Qty=1.0, RCV=$71.77']}",2.0,140.42,"{'total_quantity': 2.0, 'total_rcv': 140.42, 'occurrences_detail': ['Line 249: Qty=1.0, RCV=$70.21', 'Line 334: Qty=1.0, RCV=$70.21']}",-1.0,-68.64999999999999,-95.65277971297199,100,CABINETRY,each,False,False,True
"R&R 5/8"" drywall - hung, taped,",191.63,907.15,SF,"{'total_quantity': 191.63, 'total_rcv': 907.15, 'occurrences_detail': ['Line 308: Qty=115.35, RCV=$546.04', 'Line 351: Qty=46.11, RCV=$218.27', 'Line 373: Qty=30.17, RCV=$142.84']}",1148.1,4007.7300000000005,"{'total_quantity': 1148.1, 'total_rcv': 4007.7300000000005, 'occurrences_detail': ['Line 24: Qty=270.77, RCV=$945.18', 'Line 40: Qty=439.78, RCV=$1535.15', 'Line 94: Qty=334.08, RCV=$1166.18', 'Line 118: Qty=4.69, RCV=$16.38', 'Line 151: Qty=49.28, RCV=$172.04', 'Line 194: Qty=49.5, RCV=$172.80']}",-956.4699999999999,-3100.5800000000004,-341.79352918480964,83,PAINTING,square_feet,False,False,True
"Baseboard - 4 1/4""",295.0,1851.56,LF,"{'total_quantity': 295.0, 'total_rcv': 1851.56, 'occurrences_detail': ['Line 315: Qty=58.33, RCV=$366.11', 'Line 365: Qty=22.67, RCV=$142.29', 'Line 391: Qty=14.67, RCV=$92.07', 'Line 429: Qty=47.5, RCV=$298.15', 'Line 444: Qty=22.0, RCV=$138.07', 'Line 467: Qty=30.83, RCV=$193.50', 'Line 489: Qty=49.0, RCV=$307.55', 'Line 511: Qty=50.0, RCV=$313.82']}",164.01,968.2800000000001,"{'total_quantity': 164.01, 'total_rcv': 968.2800000000001, 'occurrences_detail': ['Line 273: Qty=20.84, RCV=$123.04', 'Line 301: Qty=47.5, RCV=$280.43', 'Line 323: Qty=22.67, RCV=$133.84', 'Line 350: Qty=58.33, RCV=$344.37', 'Line 368: Qty=14.67, RCV=$86.60']}",130.99,883.2799999999999,47.70463825098835,100,FINISH CARPENTRY,linear_feet,False,False,True
R&R Sink faucet - Bathroom,4.0,1254.18,EA,"{'total_quantity': 4.0, 'total_rcv': 1254.18, 'occurrences_detail': ['Line 318: Qty=2.0, RCV=$627.09', 'Line 456: Qty=2.0, RCV=$627.09']}",,,,,,,0,OFFICE SUPPLIES,each,False,False,False
P-trap assembly - ABS (plastic),4.0,311.38,EA,"{'total_quantity': 4.0, 'total_rcv': 311.38, 'occurrences_detail': ['Line 319: Qty=2.0, RCV=$155.69', 'Line 457: Qty=2.0, RCV=$155.69']}",5.0,361.57,"{'total_quantity': 5.0, 'total_rcv': 361.57, 'occurrences_detail': ['Line 66: Qty=1.0, RCV=$72.32', 'Line 163: Qty=1.0, RCV=$72.32', 'Line 265: Qty=1.0, RCV=$72.32', 'Line 344: Qty=2.0, RCV=$144.61']}",-1.0,-50.19,-16.118568951120814,100,PLUMBING FIXTURES,each,False,False,True
R&R Tub/shower faucet - High grade,2.0,1081.48,EA,"{'total_quantity': 2.0, 'total_rcv': 1081.48, 'occurrences_detail': ['Line 320: Qty=1.0, RCV=$540.74', 'Line 322: Qty=1.0, RCV=$540.74']}",,,,,,,0,PLUMBING,each,False,False,False
Floor drain - tub/shower -,1.0,52.04,EA,"{'total_quantity': 1.0, 'total_rcv': 52.04, 'occurrences_detail': ['Line 321: Qty=1.0, RCV=$52.04']}",,,,,,,0,FLOOR COVERING,each,False,False,False
R&R Custom cabinets - vanity units -,12.75,6827.02,LF,"{'total_quantity': 12.75, 'total_rcv': 6827.02, 'occurrences_detail': ['Line 325: Qty=6.75, RCV=$3614.30', 'Line 460: Qty=6.0, RCV=$3212.72']}",6.75,3418.5,"{'total_quantity': 6.75, 'total_rcv': 3418.5, 'occurrences_detail': ['Line 345: Qty=6.75, RCV=$3418.50']}",6.0,3408.5200000000004,49.926908079952895,89,SPECIALTY ITEMS,linear_feet,False,False,True
R&R Countertop - solid surface -,22.310000000000002,2523.8999999999996,SF,"{'total_quantity': 22.310000000000002, 'total_rcv': 2523.8999999999996, 'occurrences_detail': ['Line 326: Qty=11.81, RCV=$1336.05', 'Line 461: Qty=10.5, RCV=$1187.85']}",,,,,,,0,CABINETRY,square_feet,False,False,False
Sink - double - solid surface material,2.0,1768.29,EA,"{'total_quantity': 2.0, 'total_rcv': 1768.29, 'occurrences_detail': ['Line 327: Qty=2.0, RCV=$1768.29']}",,,,,,,0,OFFICE SUPPLIES,each,False,False,False
Shower pan - hot mop - 17 to 30 SF,1.0,535.04,EA,"{'total_quantity': 1.0, 'total_rcv': 535.04, 'occurrences_detail': ['Line 328: Qty=1.0, RCV=$535.04']}",,,,,,,0,PLUMBING,each,False,False,False
- 15# felt*,61.0,28.34,SF,"{'total_quantity': 61.0, 'total_rcv': 28.34, 'occurrences_detail': ['Line 329: Qty=61.0, RCV=$28.34']}",,,,,,,0,UNCATEGORIZED,square_feet,False,False,False
"R&R 1/2"" Cement board",61.0,393.52,SF,"{'total_quantity': 61.0, 'total_rcv': 393.52, 'occurrences_detail': ['Line 330: Qty=61.0, RCV=$393.52']}",169.46,853.7399999999999,"{'total_quantity': 169.46, 'total_rcv': 853.7399999999999, 'occurrences_detail': ['Line 320: Qty=38.72, RCV=$195.07', 'Line 347: Qty=104.21, RCV=$525.01', 'Line 365: Qty=26.53, RCV=$133.66']}",-108.46000000000001,-460.2199999999999,-116.94958324862776,89,CONCRETE & ASPHALT,square_feet,False,False,True
R&R Tile shower - 61 to 100 SF -,1.0,3667.15,EA,"{'total_quantity': 1.0, 'total_rcv': 3667.15, 'occurrences_detail': ['Line 331: Qty=1.0, RCV=$3667.15']}",,,,,,,0,FLOOR COVERING,each,False,False,False
R&R Tile framed shower curb - per,3.42,418.72,LF,"{'total_quantity': 3.42, 'total_rcv': 418.72, 'occurrences_detail': ['Line 332: Qty=3.42, RCV=$418.72']}",,,,,,,0,FLOOR COVERING,linear_feet,False,False,False
Seal grout on tile wall,61.0,93.44,SF,"{'total_quantity': 61.0, 'total_rcv': 93.44, 'occurrences_detail': ['Line 333: Qty=61.0, RCV=$93.44']}",,,,,,,0,FLOOR COVERING,square_feet,False,False,False
R&R Custom shower door &,47.83,2226.21,SF,"{'total_quantity': 47.83, 'total_rcv': 2226.21, 'occurrences_detail': ['Line 334: Qty=47.83, RCV=$2226.21']}",,,,,,,0,PLUMBING,square_feet,False,False,False
Bathtub - Detach & reset,1.0,806.53,EA,"{'total_quantity': 1.0, 'total_rcv': 806.53, 'occurrences_detail': ['Line 335: Qty=1.0, RCV=$806.53']}",,,,,,,0,PLUMBING,each,False,False,False
Carpenter - General Framer - per hour,4.0,426.14,HR,"{'total_quantity': 4.0, 'total_rcv': 426.14, 'occurrences_detail': ['Line 336: Qty=4.0, RCV=$426.14']}",,,,,,,0,OFFICE SUPPLIES,hours,False,True,False
R&R Tile tub surround - up to 60 SF,1.0,1651.19,EA,"{'total_quantity': 1.0, 'total_rcv': 1651.19, 'occurrences_detail': ['Line 337: Qty=1.0, RCV=$1651.19']}",,,,,,,0,FLOOR COVERING,each,False,False,False
"1/2"" Cement board",199.45999999999998,1021.07,SF,"{'total_quantity': 199.45999999999998, 'total_rcv': 1021.07, 'occurrences_detail': ['Line 338: Qty=40.0, RCV=$204.76', 'Line 342: Qty=104.21, RCV=$533.48', 'Line 362: Qty=38.72, RCV=$198.22', 'Line 388: Qty=16.53, RCV=$84.61']}",169.46,853.7399999999999,"{'total_quantity': 169.46, 'total_rcv': 853.7399999999999, 'occurrences_detail': ['Line 320: Qty=38.72, RCV=$195.07', 'Line 347: Qty=104.21, RCV=$525.01', 'Line 365: Qty=26.53, RCV=$133.66']}",29.99999999999997,167.33000000000015,16.387710930690368,100,CONCRETE & ASPHALT,square_feet,False,False,True
Seal grout on tub platform and walls*,40.0,61.28,SF,"{'total_quantity': 40.0, 'total_rcv': 61.28, 'occurrences_detail': ['Line 339: Qty=40.0, RCV=$61.28']}",,,,,,,0,FLOOR COVERING,square_feet,False,False,False
Prep wall for wallpaper,184.44,154.93,SF,"{'total_quantity': 184.44, 'total_rcv': 154.93, 'occurrences_detail': ['Line 353: Qty=184.44, RCV=$154.93']}",184.44,150.5,"{'total_quantity': 184.44, 'total_rcv': 150.5, 'occurrences_detail': ['Line 308: Qty=184.44, RCV=$150.50']}",0.0,4.430000000000007,2.859355838120446,100,OFFICE SUPPLIES,square_feet,False,False,False
Remove Wallpaper - High grade,147.56,189.47,SF,"{'total_quantity': 147.56, 'total_rcv': 189.47, 'occurrences_detail': ['Line 354: Qty=147.56, RCV=$189.47']}",184.44,230.18,"{'total_quantity': 184.44, 'total_rcv': 230.18, 'occurrences_detail': ['Line 311: Qty=184.44, RCV=$230.18']}",-36.879999999999995,-40.71000000000001,-21.48625112154959,100,OFFICE SUPPLIES,square_feet,False,False,True
Wallpaper - High grade,184.44,685.12,SF,"{'total_quantity': 184.44, 'total_rcv': 685.12, 'occurrences_detail': ['Line 355: Qty=184.44, RCV=$685.12']}",184.44,656.12,"{'total_quantity': 184.44, 'total_rcv': 656.12, 'occurrences_detail': ['Line 312: Qty=184.44, RCV=$656.12']}",0.0,29.0,4.2328351237739374,100,OFFICE SUPPLIES,square_feet,False,False,False
R&R Interior door - Colonist - pre-,6.0,2634.12,EA,"{'total_quantity': 6.0, 'total_rcv': 2634.12, 'occurrences_detail': ['Line 356: Qty=1.0, RCV=$439.02', 'Line 379: Qty=1.0, RCV=$439.02', 'Line 419: Qty=1.0, RCV=$439.02', 'Line 452: Qty=1.0, RCV=$439.02', 'Line 479: Qty=1.0, RCV=$439.02', 'Line 502: Qty=1.0, RCV=$439.02']}",,,,,,,0,DOORS,each,False,False,False
Interior door - Detach & reset,4.0,460.92,EA,"{'total_quantity': 4.0, 'total_rcv': 460.92, 'occurrences_detail': ['Line 357: Qty=1.0, RCV=$115.23', 'Line 380: Qty=1.0, RCV=$115.23', 'Line 481: Qty=1.0, RCV=$115.23', 'Line 504: Qty=1.0, RCV=$115.23']}",1.0,112.73,"{'total_quantity': 1.0, 'total_rcv': 112.73, 'occurrences_detail': ['Line 318: Qty=1.0, RCV=$112.73']}",3.0,348.19,75.54239347392172,100,DOORS,each,False,False,True
Paint door/window trim & jamb - 2,12.0,510.5400000000001,EA,"{'total_quantity': 12.0, 'total_rcv': 510.5400000000001, 'occurrences_detail': ['Line 360: Qty=2.0, RCV=$85.09', 'Line 383: Qty=2.0, RCV=$85.09', 'Line 421: Qty=2.0, RCV=$85.09', 'Line 453: Qty=2.0, RCV=$85.09', 'Line 480: Qty=2.0, RCV=$85.09', 'Line 503: Qty=2.0, RCV=$85.09']}",,,,,,,0,PAINTING,each,False,False,False
Light fixture - Detach & reset,1.0,86.53,EA,"{'total_quantity': 1.0, 'total_rcv': 86.53, 'occurrences_detail': ['Line 368: Qty=1.0, RCV=$86.53']}",2.0,170.42,"{'total_quantity': 2.0, 'total_rcv': 170.42, 'occurrences_detail': ['Line 230: Qty=2.0, RCV=$170.42']}",-1.0,-83.88999999999999,-96.94903501675718,100,ELECTRICAL,each,False,False,True
Bathroom ventilation fan - Detach &,1.0,94.07,EA,"{'total_quantity': 1.0, 'total_rcv': 94.07, 'occurrences_detail': ['Line 369: Qty=1.0, RCV=$94.07']}",,,,,,,0,ROOFING,each,False,False,False
Remove Window AC unit - detach*,1.0,93.14,EA,"{'total_quantity': 1.0, 'total_rcv': 93.14, 'occurrences_detail': ['Line 399: Qty=1.0, RCV=$93.14']}",,,,,,,0,WINDOWS,each,False,False,False
Install Window AC unit - reset*,1.0,129.33,EA,"{'total_quantity': 1.0, 'total_rcv': 129.33, 'occurrences_detail': ['Line 400: Qty=1.0, RCV=$129.33']}",,,,,,,0,WINDOWS,each,False,False,False
Remove Safe - concealed wall,1.0,120.07,EA,"{'total_quantity': 1.0, 'total_rcv': 120.07, 'occurrences_detail': ['Line 401: Qty=1.0, RCV=$120.07']}",,,,,,,0,PAINTING,each,False,False,False
Install Safe - concealed wall,1.0,200.12,EA,"{'total_quantity': 1.0, 'total_rcv': 200.12, 'occurrences_detail': ['Line 402: Qty=1.0, RCV=$200.12']}",,,,,,,0,PAINTING,each,False,False,False
Window drapery - hardware - Detach,1.0,56.19,EA,"{'total_quantity': 1.0, 'total_rcv': 56.19, 'occurrences_detail': ['Line 403: Qty=1.0, RCV=$56.19']}",,,,,,,0,WINDOWS,each,False,False,False
Window drapery - remove and rehang,1.0,94.35,HR,"{'total_quantity': 1.0, 'total_rcv': 94.35, 'occurrences_detail': ['Line 404: Qty=1.0, RCV=$94.35']}",,,,,,,0,WINDOWS,hours,False,False,False
Paint chair rail - two coats,47.5,92.19,LF,"{'total_quantity': 47.5, 'total_rcv': 92.19, 'occurrences_detail': ['Line 411: Qty=47.5, RCV=$92.19']}",475.57,904.25,"{'total_quantity': 475.57, 'total_rcv': 904.25, 'occurrences_detail': ['Line 287: Qty=475.57, RCV=$904.25']}",-428.07,-812.06,-880.8547564811802,100,PAINTING,linear_feet,False,False,True
Additional charge for a retrofit,2.0,716.98,EA,"{'total_quantity': 2.0, 'total_rcv': 716.98, 'occurrences_detail': ['Line 416: Qty=2.0, RCV=$716.98']}",1.0,350.64,"{'total_quantity': 1.0, 'total_rcv': 350.64, 'occurrences_detail': ['Line 105: Qty=1.0, RCV=$350.64']}",1.0,366.34000000000003,51.09487014979498,100,UNCATEGORIZED,each,False,False,True
R&R Exterior door sidelite - sidelite,2.0,1656.3,EA,"{'total_quantity': 2.0, 'total_rcv': 1656.3, 'occurrences_detail': ['Line 418: Qty=2.0, RCV=$1656.30']}",,,,,,,0,SIDING,each,False,False,False
Material Only Bypass mirrored door,1.0,313.99,EA,"{'total_quantity': 1.0, 'total_rcv': 313.99, 'occurrences_detail': ['Line 424: Qty=1.0, RCV=$313.99']}",,,,,,,0,DOORS,each,False,False,False
R&R T- molding - for wood flooring -,4.0,53.2,LF,"{'total_quantity': 4.0, 'total_rcv': 53.2, 'occurrences_detail': ['Line 428: Qty=4.0, RCV=$53.20']}",4.0,49.92,"{'total_quantity': 4.0, 'total_rcv': 49.92, 'occurrences_detail': ['Line 300: Qty=4.0, RCV=$49.92']}",0.0,3.280000000000001,6.165413533834588,86,FLOOR COVERING,linear_feet,False,False,True
Sink - single - solid surface material,1.0,762.51,EA,"{'total_quantity': 1.0, 'total_rcv': 762.51, 'occurrences_detail': ['Line 462: Qty=1.0, RCV=$762.51']}",,,,,,,0,OFFICE SUPPLIES,each,False,False,False
Floor leveling cement - Heavy,57.92,224.77,SF,"{'total_quantity': 57.92, 'total_rcv': 224.77, 'occurrences_detail': ['Line 464: Qty=57.92, RCV=$224.77']}",,,,,,,0,ACCESSORIES - MOBILE HOME,square_feet,False,False,False
Detach & Reset Closet shelf and rod,10.91,167.05,LF,"{'total_quantity': 10.91, 'total_rcv': 167.05, 'occurrences_detail': ['Line 475: Qty=5.83, RCV=$89.27', 'Line 498: Qty=5.08, RCV=$77.78']}",10.0,149.64,"{'total_quantity': 10.0, 'total_rcv': 149.64, 'occurrences_detail': ['Line 315: Qty=10.0, RCV=$149.64']}",0.9100000000000001,17.410000000000025,10.422029332535184,100,CABINETRY,linear_feet,False,False,True
Install Bypass mirrored door set,2.0,198.14,EA,"{'total_quantity': 2.0, 'total_rcv': 198.14, 'occurrences_detail': ['Line 485: Qty=1.0, RCV=$99.07', 'Line 507: Qty=1.0, RCV=$99.07']}",,,,,,,0,DOORS,each,False,False,False
Balustrade - Detach & reset,10.33,1855.52,LF,"{'total_quantity': 10.33, 'total_rcv': 1855.52, 'occurrences_detail': ['Line 514: Qty=10.33, RCV=$1855.52']}",10.33,1814.94,"{'total_quantity': 10.33, 'total_rcv': 1814.94, 'occurrences_detail': ['Line 221: Qty=10.33, RCV=$1814.94']}",0.0,40.57999999999993,2.1869880141415847,100,HVAC,linear_feet,False,False,False
Paint the walls - two coats - 2 colors,252.05,420.66,SF,"{'total_quantity': 252.05, 'total_rcv': 420.66, 'occurrences_detail': ['Line 516: Qty=252.05, RCV=$420.66']}",,,,,,,0,PAINTING,square_feet,False,False,False
Laminate flr simulated wood - step,58.0,1602.27,LF,"{'total_quantity': 58.0, 'total_rcv': 1602.27, 'occurrences_detail': ['Line 520: Qty=58.0, RCV=$1602.27']}",58.0,1578.83,"{'total_quantity': 58.0, 'total_rcv': 1578.83, 'occurrences_detail': ['Line 227: Qty=58.0, RCV=$1578.83']}",0.0,23.440000000000055,1.4629244758998206,100,ACCESSORIES - MOBILE HOME,linear_feet,False,False,False
Stair riser - up to 4',14.0,404.84,EA,"{'total_quantity': 14.0, 'total_rcv': 404.84, 'occurrences_detail': ['Line 521: Qty=14.0, RCV=$404.84']}",,,,,,,0,STAIRS,each,False,False,False
R&R Stair nosing - for wood flooring,58.0,798.54,LF,"{'total_quantity': 58.0, 'total_rcv': 798.54, 'occurrences_detail': ['Line 522: Qty=58.0, RCV=$798.54']}",,,,,,,0,FLOOR COVERING,linear_feet,False,False,False
Seal & paint stair riser - per side - per,58.0,283.4,LF,"{'total_quantity': 58.0, 'total_rcv': 283.4, 'occurrences_detail': ['Line 523: Qty=58.0, RCV=$283.40']}",,,,,,,0,PAINTING,linear_feet,False,False,False
R&R Stair Skirt/Apron - wall side -,21.43,594.41,LF,"{'total_quantity': 21.43, 'total_rcv': 594.41, 'occurrences_detail': ['Line 524: Qty=21.43, RCV=$594.41']}",21.43,548.65,"{'total_quantity': 21.43, 'total_rcv': 548.65, 'occurrences_detail': ['Line 225: Qty=21.43, RCV=$548.65']}",0.0,45.75999999999999,7.698390000168233,100,PAINTING,linear_feet,False,False,True
Paint stair skirt/apron,21.43,165.27,LF,"{'total_quantity': 21.43, 'total_rcv': 165.27, 'occurrences_detail': ['Line 525: Qty=21.43, RCV=$165.27']}",21.43,161.76,"{'total_quantity': 21.43, 'total_rcv': 161.76, 'occurrences_detail': ['Line 226: Qty=21.43, RCV=$161.76']}",0.0,3.5100000000000193,2.123797422399721,100,PAINTING,linear_feet,False,False,False
Residential Supervision / Project,360.0,34620.48,HR,"{'total_quantity': 360.0, 'total_rcv': 34620.48, 'occurrences_detail': ['Line 526: Qty=360.0, RCV=$34620.48']}",120.0,11321.28,"{'total_quantity': 120.0, 'total_rcv': 11321.28, 'occurrences_detail': ['Line 431: Qty=120.0, RCV=$11321.28']}",240.0,23299.200000000004,67.29889360286167,100,SUPERVISION & MANAGEMENT,hours,False,False,True
Temporary toilet (per month),8.0,1968.2,MO,"{'total_quantity': 8.0, 'total_rcv': 1968.2, 'occurrences_detail': ['Line 527: Qty=8.0, RCV=$1968.20']}",6.0,1476.14,"{'total_quantity': 6.0, 'total_rcv': 1476.14, 'occurrences_detail': ['Line 419: Qty=6.0, RCV=$1476.14']}",2.0,492.05999999999995,25.000508078447307,100,PLUMBING,months,True,False,True
Temporary power usage (per month),8.0,2606.31,MO,"{'total_quantity': 8.0, 'total_rcv': 2606.31, 'occurrences_detail': ['Line 528: Qty=8.0, RCV=$2606.31']}",3.0,962.23,"{'total_quantity': 3.0, 'total_rcv': 962.23, 'occurrences_detail': ['Line 421: Qty=3.0, RCV=$962.23']}",5.0,1644.08,63.08075401621449,100,TEMPORARY ITEMS,months,True,False,True
"Dumpster load - Approx. 20 yards, 4",1.0,884.4,EA,"{'total_quantity': 1.0, 'total_rcv': 884.4, 'occurrences_detail': ['Line 529: Qty=1.0, RCV=$884.40']}",1.0,1098.0,"{'total_quantity': 1.0, 'total_rcv': 1098.0, 'occurrences_detail': ['Line 422: Qty=1.0, RCV=$1098.00']}",0.0,-213.60000000000002,-24.15196743554953,94,DUMPSTER & DEBRIS,each,False,False,True
"Dumpster load - Approx. 30 yards, 5-",1.0,1098.0,EA,"{'total_quantity': 1.0, 'total_rcv': 1098.0, 'occurrences_detail': ['Line 530: Qty=1.0, RCV=$1098.00']}",1.0,1098.0,"{'total_quantity': 1.0, 'total_rcv': 1098.0, 'occurrences_detail': ['Line 422: Qty=1.0, RCV=$1098.00']}",0.0,0.0,0.0,100,DUMPSTER & DEBRIS,each,False,False,False
Megohmmeter check electrical,1.0,1325.23,EA,"{'total_quantity': 1.0, 'total_rcv': 1325.23, 'occurrences_detail': ['Line 531: Qty=1.0, RCV=$1325.23']}",1.0,1305.55,"{'total_quantity': 1.0, 'total_rcv': 1305.55, 'occurrences_detail': ['Line 428: Qty=1.0, RCV=$1305.55']}",0.0,19.680000000000064,1.485025240901584,100,ELECTRICAL,each,False,False,False
Painter - per hour,16.0,1433.28,HR,"{'total_quantity': 16.0, 'total_rcv': 1433.28, 'occurrences_detail': ['Line 532: Qty=16.0, RCV=$1433.28']}",,,,,,,0,PAINTING,hours,False,True,False
Plumber - per hour,16.0,2217.98,HR,"{'total_quantity': 16.0, 'total_rcv': 2217.98, 'occurrences_detail': ['Line 534: Qty=16.0, RCV=$2217.98']}",,,,,,,0,PLUMBING,hours,False,True,False
Electrician - per hour,16.0,2587.0,HR,"{'total_quantity': 16.0, 'total_rcv': 2587.0, 'occurrences_detail': ['Line 535: Qty=16.0, RCV=$2587.00']}",,,,,,,0,ELECTRICAL,hours,False,True,False
HVAC Technician - per hour,8.0,1012.9,HR,"{'total_quantity': 8.0, 'total_rcv': 1012.9, 'occurrences_detail': ['Line 536: Qty=8.0, RCV=$1012.90']}",,,,,,,0,HVAC,hours,False,True,False
Finish Carpenter - per hour,16.0,1693.82,HR,"{'total_quantity': 16.0, 'total_rcv': 1693.82, 'occurrences_detail': ['Line 537: Qty=16.0, RCV=$1693.82']}",,,,,,,0,OFFICE SUPPLIES,hours,False,True,False
Drywall Installer / Finisher - per hour,48.0,6773.18,HR,"{'total_quantity': 48.0, 'total_rcv': 6773.18, 'occurrences_detail': ['Line 538: Qty=48.0, RCV=$6773.18']}",,,,,,,0,PAINTING,hours,False,True,False
Final cleaning - construction -,2345.0,1041.19,SF,"{'total_quantity': 2345.0, 'total_rcv': 1041.19, 'occurrences_detail': ['Line 539: Qty=2345.0, RCV=$1041.19']}",1786.0800000000004,771.6099999999999,"{'total_quantity': 1786.0800000000004, 'total_rcv': 771.6099999999999, 'occurrences_detail': ['Line 19: Qty=80.93, RCV=$34.95', 'Line 38: Qty=288.54, RCV=$124.65', 'Line 91: Qty=163.9, RCV=$70.80', 'Line 115: Qty=212.83, RCV=$91.94', 'Line 132: Qty=10.29, RCV=$4.44', 'Line 146: Qty=35.74, RCV=$15.45', 'Line 172: Qty=35.74, RCV=$15.45', 'Line 191: Qty=50.8, RCV=$21.95', 'Line 207: Qty=50.8, RCV=$21.95', 'Line 215: Qty=21.14, RCV=$9.13', 'Line 220: Qty=19.94, RCV=$8.62', 'Line 229: Qty=58.0, RCV=$25.06', 'Line 246: Qty=54.17, RCV=$23.40', 'Line 275: Qty=57.92, RCV=$25.03', 'Line 303: Qty=206.03, RCV=$89.01', 'Line 325: Qty=38.72, RCV=$16.72', 'Line 352: Qty=104.21, RCV=$45.02', 'Line 370: Qty=25.53, RCV=$11.03', 'Line 385: Qty=121.74, RCV=$52.59', 'Line 399: Qty=149.11, RCV=$64.42']}",558.9199999999996,269.58000000000015,25.89152796319597,100,CLEANING,square_feet,False,False,True
